ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
23,1,pan_prd_cxqroo,ADRIANA PAULINA TEISSIER ZAVALA,AURORA CONCEPCION POOL CAUICH
23,1,pvem_pt_morena_fxmqroo,JULIÁN JAVIER RICALDE MAGAÑA,YSMAEL MOGUEL CANTO
23,1,mas,ALBERTO CARLOS HERNÁNDEZ COBOS,HERIBERTO ARGUELLO LORIA
23,1,mc,JOSE ENRIQUE TORRES MAY,MARCOS ALFONSO MARIANO MEX
23,1,pri,JUDITH GERTRUDIS MATOS QUIAM,ANDREA ISABEL SOSA LOPEZ
23,2,pan_prd_cxqroo,PRISCILLA RAMIREZ SEGURA,ITZEL JHOSELINE RUIZ GARCIA
23,2,fxmqroo,ODALIS GOMEZ MILLAR,LIZ MARYLIN TORRES LEAL
23,2,mas,OSCAR ANTONIO SOLIS SOBERANIS,TOMÁS VÁZQUEZ MEZETA
23,2,mc,ANTONIO DE JESUS TUN YAM,ALEXANDER SAUL PAT POOT
23,2,morena,RICARDO VELAZCO RODRIGUEZ,ROSARIO DE LOS ANGELES ABAN MUKUL
23,2,pri,JOSE PABLO CICERO BARRAZA,OSCAR ADRIAN MORALES CACERES
23,2,pt,CAROLINA LOURDES CASTILLEJOS CARDENAS,ANAHI ALEJANDRA TELLEZ CARBAJAL
23,2,pvem,SUSANA HURTADO VALLEJO,MARIA GUADALUPE ALCOCER ESPADAS
23,3,pan_prd_cxqroo,FRANCISCO AMARO BETANCOURT,ELMER RAUL AZCORRA HERRERA
23,3,pvem_pt_morena_fxmqroo,HUGO ALDAY NIETO,ISAURA IVANOVA POOL PECH
23,3,mas,JONY RAYMUNDO SÁNCHEZ CANCHÉ,KARINA ESTEFANÍA CORAL ÁVILA
23,3,mc,CARLOS IVÁN LARA SILVEIRA,RICARDO MANZANO RUBIO
23,3,pri,ERNESTO MAXIMILIANO GUTIERREZ DE LA TORRE,JONATHAN ERNESTO CAUICH TAMAY
23,4,pan_prd_cxqroo,RUBEN TREVIÑO AVILA,CLARA URIBE HERNANDEZ
23,4,pvem_pt_morena_fxmqroo,CRISTINA DEL CARMEN ALCERRECA MANZANERO,DANIELA TORRES SERRANO
23,4,mas,ARACELI FERNÁNDEZ SANTACRUZ AMADOR,DIANA YURIZA LEÓN BARRADAS
23,4,mc,JUAN CARLOS DAHUABE GONZÁLEZ,GELMY DEL SOCORRO TEJERO VALDEZ
23,4,pri,RODOLFO OMAR LOPEZ ROMERO,LUIS ENRIQUE SARAO SOLIS
23,5,pan_prd_cxqroo,REYNA ARELLY DURAN OVANDO,FRIDA SOFIA VELASCO DZIB
23,5,pvem_pt_morena_fxmqroo,MILDRED CONCEPCION AVILA VERA,JISSEL CASTRO MARCIAL
23,5,mas,MARTHA MARGARITA RODRÍGUEZ RODRÍGUEZ,ANA MARÍA DEL CONSUELO BARROSO MARVAN
23,5,mc,MARIA FERNANDA GONZÁLEZ BAEZA,LIDIA NATALY MENDEZ VIDAL
23,5,pri,ELBA GONZALEZ MEL,JENYFER ZURITA GARCIA
23,6,pan_prd_cxqroo,BIBIAN MELBILUI CASTILLO DZUL,RAQUEL HERNANDEZ POOL
23,6,pvem_pt_morena_fxmqroo,ANDREA DEL ROSARIO GONZALEZ LORIA,ALMA DELFINA ALVARADO MOO
23,6,mas,VALERIA DEL CARMEN MONTIEL HERNÁNDEZ,SURYZADAI GÓMEZ MAY
23,6,mc,VICTOR GILBERTO AGUILAR ESPINOSA,RUBEN FERNANDO PACHON TREJO
23,6,pri,TERESITA SUGEI ZAMBADA RAMOS,PAULA CRUZ TALAVERA HERNANDEZ
23,7,pan_prd_cxqroo,IRIS ADRIANA MORA VALLEJO,MARCIA ALICIA FERNANDEZ PIÑA
23,7,pvem_pt_morena_fxmqroo,MARIA FERNANDA CRUZ SANCHEZ,LESLIE VIRIDIAN ALVAREZ DEL ANGEL
23,7,mas,JOSÉ REBOLLEDO LEÓN,LESLY PAOLA ROBLES CAMACHO
23,7,mc,NALLELI ALEJANDRA NÚÑEZ NOVELO,NAYELI GUADALUPE CETINA RUIZ
23,7,pri,GLADYS ETELVINA BURGOS GOMEZ,HELMY GUADALUPE BRITO MOGUEL
23,8,pan_prd_cxqroo,FRANCISCO JAVIER LOPEZ REYES,EUGENIA GUADALUPE SOLIS SALAZAR
23,8,pvem_pt_morena_fxmqroo,ISSAC JANIX ALANIS,BERENICE SOSA OSORIO
23,8,mas,CARLOS BALMACEDA OSTOS,CLAUDIA CECILIA LEZCANO HERNÁNDEZ
23,8,mc,CLAUDIA IVETT BARRERA TORRES,MAYRA ESPINO GARCIA
23,8,pri,STEPHANIA SOULE PRECIAT,SHAILA SAYURI CASTRO ACHACH
23,9,pan_prd_cxqroo,ROLANDO ALCOCER CASTILLO,MARTHA ANGELICA VAZQUEZ ALCOCER
23,9,pvem_pt_morena_fxmqroo,SILVIA DZUL SANCHEZ,MIRELLA BETESDA DIAZ AGUILAR
23,9,mas,MARÍA DOLORES MARRUFO ECHEVERRÍA,CARLA ESTEFANIA LÓPEZ GÓMEZ
23,9,mc,RUBI DANIELA MONTALVO MORALES,JOANNA CONTRERAS VAZQUEZ
23,9,pri,CECILIO PUC SANSORES,RAFAEL ARMANDO DOMNIGUEZ VILLANUEVA
23,10,pan_prd_cxqroo,KIRA IRIS SAN,DANNA FELISA RAMIREZ SALDAÑA
23,10,pvem_pt_morena_fxmqroo,ANGY ESTEFANIA MERCADO ASENCIO,LAURA ELENA CORRALES NAVARRETE
23,10,mas,ALBERTO LOPEZ CASTRO,RUSBEL BRIEGEL PAT CAHUICH
23,10,mc,SIXTO FERNANDO CUEVAS CETINA,JIMMY DARIO ZAPATA ANCONA
23,10,pri,KARIME HYARACED CASTILLO MARMOLEJO,VALERIA GUADALUPE NAH PEREZ
23,11,pan_prd_cxqroo,STEPHANY SARAI ALEJANDRO VILLANUEVA,CINTHIA ESTELA BASTO ORTEGA
23,11,pvem_pt_morena_fxmqroo,RENAN EDUARDO SANCHEZ TAJONAR,LUIS ANGEL GOMEZ BALAM
23,11,mas,MARGARITA DEL ROSARIO VÁZQUEZ BARRIOS,CARLA ALEJANDRINA CHOZA SIERRA
23,11,mc,VIVIEN GRACE WITHINGTON,MARITZA DEYANIRA BASURTO BASURTO
23,11,pri,JAVIER FELIX ZETINA GONZALEZ,HUGO JESUS MENDOZA ESTRADA
23,12,pan_prd_cxqroo,PAOLY ELIZABETH PERERA MALDONADO,MICHELLE ESQUIVEL ESQUIVEL
23,12,pvem_pt_morena_fxmqroo,JOSE MARIA CHACON CHABLE,KAREN GABRIELA SECUNDINO VIVAS
23,12,mas,ESTEFY ANAHI MAY NAH,KINVERLI AMAIRANY EK RAMÍREZ
23,12,mc,MAYUSA ISOLINA GONZÁLEZ CAUICH,DIANA DANIELA GONZALEZ VARGUEZ
23,12,pri,BERNARDINO SUASTE EK,EFRAIN SANTOS MORENO
23,13,pan_prd_cxqroo,MIGUEL ELIAS ABUXAPQUI CRUZ,MIGUEL MANUEL BARAJAS CASTILLO
23,13,pvem_pt_morena_fxmqroo,ALICIA TAPIA MONTEJO,BEATRIZ YAMILI CERVANTES RANGEL
23,13,mas,ANA KEILA KOYOC TAPIA,ANA MARÍA DE LA LUZ KOYOC HERNÁNDEZ
23,13,mc,MARTIN MORALES SANCHEZ,JORGE FIDEL ALCOCER PEREZ
23,13,pri,HUGO MANUEL BALLESTEROS SANCHEZ,PABLO SANTOS CARDENAS
23,14,cand_ind,MANUEL SALVADOR PEREZ ALAVEZ,JULIO CESAR OVANDO GAMEZ
23,14,pan_prd_cxqroo,FAUSTO HERNANDO CANTO GARCIA,ANDREA DEL RIO MARTINEZ
23,14,pvem_pt_morena_fxmqroo,ELDA MARIA XIX EUAN,GUILLERMINA VERDEJO ROSAS
23,14,mas,ANDREA CELESTE GARCIA ESTRELLA,ASHANTY AC POOT
23,14,mc,ERIKA LIZBETH CORNELIO RAMOS,LORENZA IRENE GONZALEZ REINHARDT
23,14,pri,ELBA MICHELLE MEDINA GONZALEZ,GABRIELA DEL CARMEN RODRIGUEZ DIAZ
23,15,pan_prd_cxqroo,MARIA CANDELARIA RAYGOZA ALCOCER,ARACELI RIOS NAVARRO
23,15,pvem_pt_morena_fxmqroo,OMAR ANTONIO RODRIGUEZ MARTINEZ,ROLANDO ALEXIS HERNANDEZ MARTINEZ
23,15,mas,EDGAR AURELIO LLANES TORRES,ANA YURI CORAZÓN DE JESÚS ANCONA POOT
23,15,mc,PAOLA MARISSA CERVERA VILLANUEVA,ANETTE MICHELLE HERNANDEZ PALOMO
23,15,pri,DEBORAH ANGULO VILLANUEVA,ROSARIO IVETT BARQUET CERON
